domain_id,domain,tld,domain_length,subdomain_count,hyphen_count,digit_count,contains_fifa_keyword,contains_ticket_keyword,contains_official_keyword,contains_stream_keyword,contains_reward_keyword,typosquat_distance_to_fifa,registrar,whois_age_days,is_privacy_protected,ssl_status,ssl_issuer,ssl_valid_days_remaining,ip_address,hosting_country,asn_provider,visual_similarity_score,phishing_probability,malware_signature_match,blacklist_source,social_media_mentions,osint_report_count,redirect_chain_length,has_payment_page,has_login_form,threat_type,risk_score,severity,status,recommended_action,detection_timestamp
DOM00033,worldcup-authentic.online,.online,25,0,1,0,1,0,1,0,0,14,Google Domains,102,0,Valid,Sectigo,17,226.201.155.81,Netherlands,Amazon AWS,52.7,52.9,0,OpenPhish,21,2,1,0,1,Brand Impersonation,27,Low,Under Review,Monitor Domain,2026-06-29 13:51:21
DOM00034,fifaworldcupworld.fit,.fit,21,0,0,0,1,0,0,0,0,5,GoDaddy.com LLC,12,1,Invalid,Sectigo,0,139.206.96.154,China,OVH SAS,66.5,91.2,0,Internal OSINT,0,11,2,1,1,Malware Distribution,91,Critical,Pending Block,"Block Domain, Notify Analysts",2026-01-25 14:07:35
DOM00035,fifaworldcup.bonus2027.sale,.sale,27,1,0,4,1,0,0,0,1,10,Porkbun LLC,11,0,Self-Signed,DigiCert,74,249.170.242.211,Netherlands,Alibaba Cloud,59.8,64.2,0,OpenPhish,20,4,3,1,0,Phishing,78,High,Blocked,"Block Domain, Notify Analysts",2026-03-21 17:31:46
DOM00036,fifaworldcup-freetv.click,.click,25,0,1,0,1,0,0,1,0,7,OVH SAS,114,1,Valid,Not Applicable,33,195.42.131.210,India,G-Core Labs,63.2,41.4,1,OpenPhish,21,1,3,1,1,Illegal Streaming,56,Medium,Notified,Flag for Manual Review,2026-05-26 17:34:56
DOM00037,fifa2026.world.com,.com,18,1,0,4,1,0,0,0,0,8,PDR Ltd,52,1,Invalid,DigiCert,0,206.108.205.69,Indonesia,Amazon AWS,67.4,88.5,1,OpenPhish,20,6,2,0,1,Malware Distribution,83,High,Pending Block,"Block Domain, Notify Analysts",2026-06-06 08:06:43
DOM00038,fifaworldcupbonus.club,.club,22,0,0,0,1,0,0,0,1,5,Google Domains,21,1,Expired,Sectigo,0,180.178.179.147,Vietnam,Hetzner Online GmbH,91.1,57.8,0,Google Safe Browsing,0,10,0,0,1,Phishing,77,High,Blocked,"Block Domain, Notify Analysts",2026-06-01 04:45:55
DOM00039,wc2026.gift26.com,.com,17,1,0,6,1,0,0,0,1,11,Porkbun LLC,53,0,Expired,Not Applicable,0,164.176.55.20,Vietnam,Contabo GmbH,21.8,56.4,0,Internal OSINT,11,3,1,1,1,Phishing,67,High,Notified,"Block Domain, Notify Analysts",2026-04-26 03:10:54
DOM00040,fifaworldcupclub2026.fit,.fit,24,0,0,4,1,0,0,0,0,8,Google Domains,98,1,Self-Signed,Sectigo,24,133.187.185.195,Brazil,Contabo GmbH,85.9,61.1,0,PhishTank,6,7,3,0,1,Malware Distribution,51,Medium,Under Review,Flag for Manual Review,2026-03-19 01:44:58
DOM00041,worldcup.authentic.com,.com,22,1,0,0,1,0,1,0,0,14,Porkbun LLC,58,0,Valid,Let's Encrypt,69,237.195.204.2,Romania,DigitalOcean LLC,30.7,55.4,0,OpenPhish,25,6,4,1,1,Brand Impersonation,43,Medium,Under Review,Flag for Manual Review,2026-05-14 20:00:35
DOM00042,wc2026score.cam,.cam,15,0,0,4,1,0,0,0,1,11,Name.com Inc,68,1,Expired,GlobalSign,0,62.130.56.2,India,DigitalOcean LLC,32.2,60.2,0,Google Safe Browsing,22,9,0,1,1,Phishing,48,Medium,Under Review,Flag for Manual Review,2026-06-12 18:39:01
DOM00043,fifapasses26.shop,.shop,17,0,0,2,1,1,0,0,0,8,Namesilo LLC,92,0,Invalid,GlobalSign,0,244.4.219.186,Brazil,Amazon AWS,28.9,80.8,0,PhishTank,3,2,0,0,1,Fake Ticketing,47,Medium,Under Review,Flag for Manual Review,2026-06-08 13:20:16
DOM00044,worldcup-ticket2026.sale,.sale,24,0,1,4,1,1,0,0,0,15,Porkbun LLC,16,1,Valid,DigiCert,79,18.152.25.94,Mexico,M247 Ltd,38.1,45.6,0,Google Safe Browsing,6,4,0,1,1,Fake Ticketing,57,Medium,Notified,Flag for Manual Review,2026-07-01 07:41:27
DOM00045,fifaworldcupreward.site,.site,23,0,0,0,1,0,0,0,1,6,NameCheap Inc,86,0,Self-Signed,Let's Encrypt,9,94.107.174.205,India,Contabo GmbH,82.6,55.3,1,PhishTank,16,5,2,1,1,Phishing,71,High,Pending Block,"Block Domain, Notify Analysts",2026-05-12 10:42:55
DOM00046,fifastream.live,.live,15,0,0,0,1,0,0,1,0,6,OVH SAS,67,1,Self-Signed,Sectigo,16,119.18.228.242,Russia,G-Core Labs,43.5,90.9,0,PhishTank,21,2,0,1,1,Illegal Streaming,61,High,Pending Block,"Block Domain, Notify Analysts",2026-06-20 00:39:05
DOM00047,worldcup.reservation26.info,.info,27,1,0,2,1,1,0,0,0,18,Name.com Inc,61,1,Invalid,Sectigo,0,143.218.5.2,Romania,DigitalOcean LLC,95.2,97.0,0,PhishTank,24,1,3,1,1,Fake Ticketing,66,High,Blocked,"Block Domain, Notify Analysts",2026-02-05 16:14:21
DOM00048,flfaworldcupshop.online,.online,23,0,0,0,1,0,0,0,0,5,OVH SAS,73,1,Valid,Not Applicable,11,38.221.155.155,China,DigitalOcean LLC,87.5,56.9,0,PhishTank,15,12,4,1,1,Malware Distribution,44,Medium,Notified,Flag for Manual Review,2026-04-13 09:47:53
DOM00049,fifaworldcupprize.club,.club,22,0,0,0,1,0,0,0,1,5,Tucows Domains,34,0,Valid,Not Applicable,87,59.135.101.95,Brazil,Alibaba Cloud,45.8,49.4,0,Google Safe Browsing,15,12,3,0,0,Phishing,38,Medium,Notified,Flag for Manual Review,2026-01-21 22:49:26
DOM00050,fwc2026areservation.help,.help,24,0,0,4,1,1,0,0,0,16,Namesilo LLC,38,1,Self-Signed,Sectigo,61,202.169.135.176,Indonesia,Choopa LLC (Vultr),57.7,62.1,1,URLhaus,10,4,4,1,0,Fake Ticketing,68,High,Notified,"Block Domain, Notify Analysts",2026-03-12 13:08:17
DOM00051,worldcup.authorised2026.xyz,.xyz,27,1,0,4,1,0,1,0,0,19,PDR Ltd,91,0,Self-Signed,GlobalSign,68,190.164.7.58,Netherlands,Alibaba Cloud,51.5,49.5,0,OpenPhish,14,7,2,0,1,Brand Impersonation,57,Medium,Notified,Flag for Manual Review,2026-01-07 20:56:08
DOM00052,wc2026.reservation.cam,.cam,22,1,0,4,1,1,0,0,0,17,OVH SAS,57,1,Self-Signed,Not Applicable,52,47.214.250.75,Russia,Choopa LLC (Vultr),59.4,63.5,0,Google Safe Browsing,23,6,4,1,0,Fake Ticketing,69,High,Notified,"Block Domain, Notify Analysts",2026-06-22 12:30:25
DOM00053,fifa2026.official27.club,.club,24,1,0,6,1,0,1,0,0,13,GoDaddy.com LLC,61,1,Self-Signed,Let's Encrypt,12,162.58.124.98,Germany,Alibaba Cloud,71.2,56.5,0,Internal OSINT,18,4,0,0,0,Brand Impersonation,51,Medium,Notified,Flag for Manual Review,2026-01-06 04:58:27
DOM00054,flfa2026-authorised.org,.org,23,0,1,4,0,0,1,0,0,15,Dynadot LLC,62,1,Invalid,Not Applicable,0,204.206.97.121,United States,Contabo GmbH,40.9,87.8,0,OpenPhish,17,12,4,1,1,Brand Impersonation,48,Medium,Notified,Flag for Manual Review,2026-05-26 11:25:26
DOM00055,fifa2026-watch2026.live,.live,23,0,1,8,1,0,0,1,0,13,NameCheap Inc,26,0,Valid,DigiCert,38,69.233.89.51,India,Amazon AWS,29.1,54.4,0,Google Safe Browsing,2,9,1,1,0,Illegal Streaming,42,Medium,Under Review,Flag for Manual Review,2026-07-01 00:16:44
DOM00056,fwc2026prize2027.com,.com,20,0,0,8,1,0,0,0,1,14,Google Domains,34,1,Invalid,DigiCert,0,4.43.122.112,Vietnam,M247 Ltd,27.3,87.6,0,OpenPhish,5,7,0,1,1,Phishing,58,Medium,Under Review,Flag for Manual Review,2026-03-23 14:03:15
DOM00057,fifa.tickets.xyz,.xyz,16,1,0,0,1,1,0,0,0,8,PDR Ltd,48,1,Self-Signed,Let's Encrypt,17,250.119.159.178,Mexico,Choopa LLC (Vultr),48.2,69.3,0,PhishTank,11,10,3,0,1,Fake Ticketing,61,High,Pending Block,"Block Domain, Notify Analysts",2026-02-11 07:06:54
DOM00058,fifaworldcup26.org,.org,18,0,0,2,1,0,0,0,0,2,Dynadot LLC,97,0,Self-Signed,DigiCert,28,185.176.158.2,Mexico,Amazon AWS,30.9,84.2,0,PhishTank,9,6,3,0,1,Malware Distribution,43,Medium,Notified,Flag for Manual Review,2026-03-02 18:59:34
DOM00059,fifa.tickets26.com,.com,18,1,0,2,1,1,0,0,0,10,Dynadot LLC,77,0,Valid,Not Applicable,43,27.229.120.14,India,DigitalOcean LLC,58.7,52.7,1,Google Safe Browsing,20,7,1,1,1,Fake Ticketing,44,Medium,Under Review,Flag for Manual Review,2026-06-21 12:12:21
DOM00060,fifa.gift.help,.help,14,1,0,0,1,0,0,0,1,5,Porkbun LLC,103,1,Self-Signed,Sectigo,57,244.3.195.178,Romania,DigitalOcean LLC,24.1,81.2,0,Google Safe Browsing,5,4,4,0,1,Phishing,45,Medium,Under Review,Flag for Manual Review,2026-01-09 21:58:09
DOM00061,worldcup.booking.help,.help,21,1,0,0,1,1,0,0,0,12,NameCheap Inc,17,0,Expired,Self-Signed,0,153.245.133.51,Mexico,Hetzner Online GmbH,76.5,82.5,0,PhishTank,9,4,3,1,1,Fake Ticketing,87,Critical,Blocked,"Block Domain, Notify Analysts",2026-01-07 15:40:43
DOM00062,fwc2026-hub27.live,.live,18,0,1,6,1,0,0,1,0,12,NameCheap Inc,63,0,Valid,Not Applicable,77,200.87.168.95,United States,M247 Ltd,76.2,74.4,0,OpenPhish,4,12,3,1,1,Malware Distribution,36,Medium,Under Review,Flag for Manual Review,2026-04-24 23:21:28
DOM00063,fifaprize.info,.info,14,0,0,0,1,0,0,0,1,5,GoDaddy.com LLC,89,1,Expired,Self-Signed,0,190.226.249.118,India,Hetzner Online GmbH,25.3,77.0,0,PhishTank,18,4,4,1,1,Phishing,51,Medium,Under Review,Flag for Manual Review,2026-05-27 10:41:59
DOM00064,flfa2026.bonus.club,.club,19,1,0,4,0,0,0,0,1,10,Name.com Inc,88,1,Invalid,Let's Encrypt,0,27.246.36.227,Vietnam,DigitalOcean LLC,55.7,91.9,0,Google Safe Browsing,5,4,1,1,1,Phishing,42,Medium,Under Review,Flag for Manual Review,2026-03-15 06:42:02
DOM00065,fwc2026a.verified.click,.click,23,1,0,4,1,0,1,0,0,14,Porkbun LLC,35,0,Invalid,Sectigo,0,142.92.31.215,Brazil,OVH SAS,71.0,95.3,0,PhishTank,11,11,1,0,0,Brand Impersonation,52,Medium,Under Review,Flag for Manual Review,2026-02-02 15:16:54
DOM00066,wc2026-gift.buzz,.buzz,16,0,1,4,1,0,0,0,1,9,Google Domains,16,1,Self-Signed,Self-Signed,56,47.189.5.28,Vietnam,Amazon AWS,86.3,46.6,0,Internal OSINT,17,1,1,1,1,Phishing,92,Critical,Pending Block,"Block Domain, Notify Analysts",2026-05-01 00:59:27
DOM00067,fifa2026-bonus26.xyz,.xyz,20,0,1,6,1,0,0,0,1,11,Namesilo LLC,108,0,Invalid,Let's Encrypt,0,101.176.70.148,Ukraine,Hetzner Online GmbH,42.4,71.8,0,PhishTank,23,6,0,1,1,Phishing,53,Medium,Notified,Flag for Manual Review,2026-06-04 21:44:57
DOM00068,worldcup.fan.click,.click,18,1,0,0,1,0,0,0,0,8,Tucows Domains,106,1,Self-Signed,Not Applicable,57,98.231.84.47,Vietnam,Amazon AWS,67.6,69.0,0,PhishTank,20,3,4,0,0,Malware Distribution,44,Medium,Notified,Flag for Manual Review,2026-02-08 19:41:57
DOM00069,fwc2026-score.top,.top,17,0,1,4,1,0,0,0,1,11,OVH SAS,87,1,Valid,Not Applicable,88,215.222.159.160,Indonesia,DigitalOcean LLC,51.3,93.8,0,Internal OSINT,11,12,0,1,0,Phishing,31,Medium,Notified,Flag for Manual Review,2026-01-07 17:57:30
DOM00070,fwc2026-portal.net,.net,18,0,1,4,1,0,0,0,0,12,Google Domains,18,1,Invalid,Self-Signed,0,117.14.230.204,Indonesia,M247 Ltd,66.2,42.1,0,Google Safe Browsing,22,8,2,0,1,Malware Distribution,82,High,Blocked,"Block Domain, Notify Analysts",2026-06-02 02:25:46
DOM00071,fifaworldcup.pass.shop,.shop,22,1,0,0,1,0,0,0,0,5,Tucows Domains,9,1,Self-Signed,Let's Encrypt,9,25.213.25.50,Ukraine,M247 Ltd,81.1,71.0,0,PhishTank,21,9,3,1,1,Malware Distribution,90,Critical,Pending Block,"Block Domain, Notify Analysts",2026-05-27 11:47:40
DOM00072,fifa-stream.online,.online,18,0,1,0,1,0,0,1,0,7,Namesilo LLC,26,1,Self-Signed,DigiCert,82,69.88.133.210,Romania,Hetzner Online GmbH,74.8,67.7,0,PhishTank,21,4,0,0,1,Illegal Streaming,80,High,Blocked,"Block Domain, Notify Analysts",2026-02-09 03:23:55
DOM00073,fifaworldcuptickets.com,.com,23,0,0,0,1,1,0,0,0,7,Dynadot LLC,77,0,Self-Signed,DigiCert,76,51.172.47.251,United States,Tencent Cloud,28.5,94.8,0,Internal OSINT,23,11,2,0,1,Fake Ticketing,50,Medium,Under Review,Flag for Manual Review,2026-01-14 22:34:16
DOM00074,fifaworldcup-stream.info,.info,24,0,1,0,1,0,0,1,0,7,Namesilo LLC,106,0,Valid,Self-Signed,87,230.12.127.36,Netherlands,G-Core Labs,66.4,51.5,0,OpenPhish,2,1,1,0,1,Illegal Streaming,34,Medium,Notified,Flag for Manual Review,2026-03-27 00:01:30
DOM00075,fifa2026reservation2026.club,.club,28,0,0,8,1,1,0,0,0,18,OVH SAS,97,0,Self-Signed,Let's Encrypt,30,244.102.253.9,Russia,M247 Ltd,56.6,98.9,0,Internal OSINT,18,3,0,0,1,Fake Ticketing,54,Medium,Under Review,Flag for Manual Review,2026-03-16 08:18:23
DOM00076,wc2026.store.com,.com,16,1,0,4,1,0,0,0,0,12,Dynadot LLC,47,0,Expired,Not Applicable,0,133.4.22.242,Ukraine,Contabo GmbH,53.8,56.6,0,PhishTank,13,7,2,1,0,Malware Distribution,66,High,Notified,"Block Domain, Notify Analysts",2026-05-07 00:26:19
DOM00077,worldcupworld2026.info,.info,22,0,0,4,1,0,0,0,0,12,Dynadot LLC,56,0,Self-Signed,Sectigo,14,203.232.128.218,Romania,Alibaba Cloud,57.7,70.9,0,Internal OSINT,1,8,1,1,1,Malware Distribution,61,High,Pending Block,"Block Domain, Notify Analysts",2026-04-02 22:35:21
DOM00078,fifa2026-authorised2027.site,.site,28,0,1,8,1,0,1,0,0,16,Porkbun LLC,18,1,Self-Signed,Let's Encrypt,89,17.171.196.160,Indonesia,G-Core Labs,88.1,90.7,0,URLhaus,23,8,4,1,0,Brand Impersonation,84,High,Pending Block,"Block Domain, Notify Analysts",2026-01-18 00:58:41
DOM00079,worldcup-broadcast.xyz,.xyz,22,0,1,0,1,0,0,1,0,14,Namesilo LLC,119,0,Expired,DigiCert,0,7.40.155.30,Ukraine,OVH SAS,88.5,56.0,0,URLhaus,3,9,0,0,1,Illegal Streaming,57,Medium,Notified,Flag for Manual Review,2026-06-26 23:14:51
DOM00080,flfaworldcupscore.net,.net,21,0,0,0,1,0,0,0,1,6,Google Domains,38,1,Valid,Self-Signed,82,77.23.27.238,Indonesia,Contabo GmbH,39.7,43.6,0,Google Safe Browsing,14,9,4,1,1,Phishing,41,Medium,Under Review,Flag for Manual Review,2026-05-01 22:24:59
DOM00081,fwc2026a.giveaway2026.com,.com,25,1,0,8,1,0,0,0,1,18,Namesilo LLC,10,1,Self-Signed,Not Applicable,79,138.37.180.224,Netherlands,Contabo GmbH,78.6,75.9,0,OpenPhish,1,4,2,0,1,Phishing,85,High,Notified,"Block Domain, Notify Analysts",2026-05-30 10:47:32
DOM00082,fifa2026-reservation2027.com,.com,28,0,1,8,1,1,0,0,0,19,Namesilo LLC,66,1,Invalid,Self-Signed,0,192.242.251.196,Russia,Alibaba Cloud,47.8,46.2,1,PhishTank,14,3,0,0,1,Fake Ticketing,56,Medium,Notified,Flag for Manual Review,2026-01-29 03:14:16
DOM00083,coca-cola.com,.com,13,0,1,0,0,0,0,0,0,8,PDR Ltd,4696,0,Valid,Sectigo,187,99.20.248.239,Russia,G-Core Labs,2.3,1.4,0,,3,0,0,1,1,Legitimate,11,Low,Not Flagged,No Action Needed,2026-03-12 12:45:31
DOM00084,worldcup-live2027.shop,.shop,22,0,1,4,1,0,0,1,0,13,Porkbun LLC,4,1,Self-Signed,DigiCert,69,95.164.49.158,Vietnam,Amazon AWS,47.7,59.4,0,URLhaus,16,11,0,1,1,Illegal Streaming,84,High,Pending Block,"Block Domain, Notify Analysts",2026-04-01 08:14:18
